orfid	yORF	gene name	GFP tagged?	GFP visualized?	TAP visualized?	abundance	error	localization summary	ambiguous	mitochondrion	vacuole	spindle pole	cell periphery	punctate composite	vacuolar membrane	ER	nuclear periphery	endosome	bud neck	microtubule	Golgi	late Golgi	peroxisome	actin	nucleolus	cytoplasm	ER to Golgi	early Golgi	lipid particle	nucleus	bud	
5408	YAL053W		tagged	visualized	TAP visualized	414	NA	ambiguous,bud neck,cell periphery,punctate composite,late Golgi,bud	T	F	F	F	T	T	F	F	F	F	T	F	F	T	F	F	F	F	F	F	F	F	T		
853	YAL054C	ACS1	tagged	visualized	TAP visualized	2890	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
4026	YAL055W	PEX22	tagged	visualized	TAP visualized	259	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
574	YAL056W	GPB2	tagged	visualized	TAP visualized	low signal	NA	cytoplasm,mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5702	YAL058W	CNE1	tagged	visualized	TAP visualized	4760	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
6104	YAL059W	ECM1	tagged	visualized	TAP visualized	2840	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
2422	YAL060W	BDH1	tagged	visualized	TAP visualized	8730	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
2203	YAL061W		tagged	visualized	TAP visualized	3090	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
6087	YAR002C-A	ERP1	tagged	visualized	TAP visualized	20700	NA	vacuolar membrane	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5657	YAR002W	NUP60	tagged	visualized	TAP visualized	4590	NA	nuclear periphery	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2159	YAR003W	SWD1	tagged	visualized	TAP visualized	907	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
1154	YAR007C	RFA1	tagged	visualized	TAP visualized	4100	486.0	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
203	YAR009C		tagged	visualized	TAP visualized	2220	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
889	YAR014C	BUD14	tagged	visualized	TAP visualized	538	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3012	YAR015W	ADE1	tagged	visualized	TAP visualized	4280	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
392	YAR019C	CDC15	tagged	visualized	TAP visualized	238	NA	ambiguous,spindle pole	T	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
6059	YAR027W	UIP3	tagged	visualized	TAP visualized	1690	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
6061	YAR028W		tagged	visualized	TAP visualized	1840	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
555	YAR044W	OSH1	tagged	visualized	TAP visualized	846	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1876	YAR071W	PHO11	tagged	visualized	TAP visualized	1460	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
4945	YBL001C	ECM15	tagged	visualized	TAP visualized	1900	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
4467	YBL002W	HTB2	tagged	visualized	TAP visualized	443000	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
4454	YBL003C	HTA2	tagged	visualized	TAP visualized	32100	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
5218	YBL004W	UTP20	tagged	visualized	not TAP visualized	not visualized	NA	cytoplasm,nucleolus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	T	F	F	F	F	F		
389	YBL005W	PDR3	tagged	visualized	TAP visualized	166	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
174	YBL007C	SLA1	tagged	visualized	TAP visualized	952	NA	cytoplasm,actin	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	T	F	F	F	F	F		
586	YBL008W	HIR1	tagged	visualized	TAP visualized	846	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3224	YBL010C		tagged	visualized	TAP visualized	1320	NA	late Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F		
5424	YBL011W	SCT1	tagged	visualized	TAP visualized	1050	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2358	YBL013W	FMT1	tagged	visualized	TAP visualized	1070	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
496	YBL014C	RRN6	tagged	visualized	TAP visualized	237	36.3	cytoplasm,nucleolus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	T	F	F	F	F	F		
1547	YBL015W	ACH1	tagged	visualized	TAP visualized	4890	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2636	YBL016W	FUS3	tagged	visualized	TAP visualized	8480	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
5241	YBL017C	PEP1	tagged	visualized	TAP visualized	7210	NA	punctate composite,endosome	F	F	F	F	F	T	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F		
4200	YBL018C	POP8	tagged	visualized	TAP visualized	4870	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
1585	YBL019W	APN2	tagged	visualized	TAP visualized	414	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
